Ratings,PMID        Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29063352	Multivariable Analysis of Gluten-Free Pasta Elaborated with Non-Conventional Flours Based on the Phenolic Profile,Antioxidant Capacity and Color. The phenolic compounds,color and antioxidant capacity of gluten-free pasta prepared with non-conventional flours such as chickpea (CHF),unripe plantain (UPF),white maize (WMF) and blue maize (BMF) were analyzed. Fifteen phenolic compounds (five anthocyanins,five hydroxybenzoic acids,three hydroxycinnamic acids,one hydroxyphenylacetic acid and one flavonol) were identified in pasta prepared with blue maize,and 10 compounds were identified for samples prepared with white maize. The principal component analysis (PCA) led to results describing 98% of the total variance establishing a clear separation for each pasta. Both the proportion (25,50 and 75%) and type of maize flour (white and blue) affected the color parameters (L*,C ab *,h ab and DeltaE* ab ) and antioxidant properties (DPPH,ABTS and FRAP methods) of samples,thus producing gluten-free products with potential health benefits intended for general consumers (including the population with celiac disease).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,26486281	QUALITY OF LIFE EVALUATION IN CELIAC PATIENTS FROM SOUTHERN BRAZIL. BACKGROUND: Restrictions imposed by the gluten-free diet generate large changes in the daily habits of the celiac patient,causing a negative impact on quality of life. OBJECTIVE: This study aimed to evaluate the quality of life of patients with celiac disease on a capital in Southern Brazil. METHODS: Patients older than 18 years were included,with confirmed celiac disease for at least 60 days in the period from June to October 2013. A validated questionnaire,with specific questions to assess the patient's quality of life celiac was applied. A total score ranged from 20 to 100 points; the higher the score,worse quality of life. RESULTS: A total of 103 questionnaires were evaluated,96 (93.2%) female,with average score 56.6+-12.35 (28 to 88 points). The comparison between the questionnaire scores and family income was not significant (P=0.139). Patients diagnosed less than 1 year have poorer quality of life than those with more than 10 years (P=0.063). Patients older than 60 years had better quality of life compared with the younger ones (P=0.04). CONCLUSION: There was no association between quality of life and factors such as family income,length of diet and age at diagnosis. Chronological age greater than 60 years has positively influenced the quality of life of celiac patients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,23184965	Structural genes of wheat and barley 5-methylcytosine DNA glycosylases and their potential applications for human health. Wheat supplies about 20% of the total food calories consumed worldwide and is a national staple in many countries. Besides being a key source of plant proteins,it is also a major cause of many diet-induced health issues,especially celiac disease. The only effective treatment for this disease is a total gluten-free diet. The present report describes an effort to develop a natural dietary therapy for this disorder by transcriptional suppression of wheat DEMETER (DME) homeologs using RNA interference. DME encodes a 5-methylcytosine DNA glycosylase responsible for transcriptional derepression of gliadins and low-molecular-weight glutenins (LMWgs) by active demethylation of their promoters in the wheat endosperm. Previous research has demonstrated these proteins to be the major source of immunogenic epitopes. In this research,barley and wheat DME genes were cloned and localized on the syntenous chromosomes. Nucleotide diversity among DME homeologs was studied and used for their virtual transcript profiling. Functional conservation of DME enzyme was confirmed by comparing the motif and domain structure within and across the plant kingdom. Presence and absence of CpG islands in prolamin gene sequences was studied as a hallmark of hypo- and hypermethylation,respectively. Finally the epigenetic influence of DME silencing on accumulation of LMWgs and gliadins was studied using 20 transformants expressing hairpin RNA in their endosperm. These transformants showed up to 85.6% suppression in DME transcript abundance and up to 76.4% reduction in the amount of immunogenic prolamins,demonstrating the possibility of developing wheat varieties compatible for the celiac patients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28688105	Intussusception in celiac disease: Is it a common feature in children? BACKGROUND AND AIM: There are sporadic reports of occurrence of intussusception in celiac disease (CD) but no systematic study yet. We prospectively studied the prevalence and natural history of intussusception in newly diagnosed CD. METHODS: From January 2010 to October 2013,150 children,diagnosed to have CD on the basis of positive serology and duodenal biopsy,were recruited in this study. Abdominal ultrasonography was carried out before starting gluten-free diet (GFD) and repeated in those who had intussusception,on day 3 and then weekly till the resolution of intussusception. RESULTS: The median age was 72 (range,16-204) months,and 79 (53%) were boys. Diarrhea was the presenting symptom in 119 (79%) cases. A total of 45 intussusceptions were detected in 37 (25%) children. Out of 45 intussusceptions,95% involved small bowel. All but one had asymptomatic intussusception. On GFD,intussusception resolved spontaneously within 7 days in 65%,within 14 days in 84%,and within 28 days in 92% of cases,and none required surgical or hydrostatic reduction. On univariate analysis,younger age,low weight z score,presentation with diarrhea,abdominal distension,rickets,lower serum albumin,more severe villous atrophy,and refeeding syndrome were more common in children with intussusception. On multivariate analysis,abdominal distension and hypoalbuminemia were found to be significantly associated with intussusception. CONCLUSIONS: Intussusception is frequently (25%) seen in children with newly diagnosed CD,generally asymptomatic and resolves spontaneously on GFD. It is often associated with more severe disease. Children with CD and intussusception should not be subjected to surgical/radiological intervention.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33259438	Evaluation of Daily Lives of Children and Adolescents with Celiac Disease and Nursing Approaches. The incidence of celiac disease has been increasing in recent years. Celiac disease is an autoimmune enteropathy that emerges mostly in the childhood period. This disorder is a chronic condition of the small intestine due to gluten intake in individuals with genetic predisposition. In the treatment of celiac disease,gluten-free diet therapy is applied. However,the adaptation process to the diet may create difficulties for patients. Compliance with diet is much more difficult among patients with celiac disease in childhood and adolescence than in adult patients. Children and adolescents face distinct difficulties in their homes,at school,and in their social lives. Besides following dietary treatment,children and adolescents living with celiac disease need peer support to manage their daily routines. In this article,we aimed to discuss the problems experienced by children and adolescents living with celiac disease and nursing approaches to these problems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30392830	Murine Norovirus Infection Induces TH1 Inflammatory Responses to Dietary Antigens. Intestinal reovirus infection can trigger T helper 1 (TH1) immunity to dietary antigen,raising the question of whether other viruses can have a similar impact. Here we show that the acute CW3 strain of murine norovirus,but not the persistent CR6 strain,induces TH1 immunity to dietary antigen. This property of CW3 is dependent on its major capsid protein,a virulence determinant. Transcriptional profiling of mesenteric lymph nodes following infection reveals an immunopathological signature that does not segregate with protective immunity but with loss of oral tolerance,in which interferon regulatory factor 1 is critical. These data show that viral capacity to trigger specific inflammatory pathways at sites where T cell responses to dietary antigens take place interferes with the development of tolerance to an oral antigen. Collectively,these data provide a foundation for the development of therapeutic strategies to prevent TH1-mediated complex immune disorders triggered by viral infections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,23763501	Coeliac disease,gluten-free diet and the development and progression of albuminuria in children with type 1 diabetes. OBJECTIVES: Although a diagnosis of coeliac disease (CD) may be confronting to children with type 1 diabetes and their families,we hypothesize that children with CD have lower urinary albumin excretion,a marker of renal dysfunction. RESEARCH DESIGN: Twenty-four children with type 1 diabetes and biopsy-proven CD,on a gluten-free diet for at least 1 yr,were recruited from a single paediatric diabetes clinic alongside 55 children with type 1 diabetes but without CD matched for age,gender,duration of diabetes,and glycaemic control. RESULTS: Despite comparable diabetes exposure,glycaemic control and nutritional status,children with type 1 diabetes and CD had a lower urinary albumin creatinine ratio than in diabetic subjects without CD (0.9 +- 0.3 mg/mmol vs. 1.6 +- 0.3 mg/mmol; p = 0.01). Participants with CD also showed slower progression in albuminuria over 5-yr of follow-up while a small but significant increase was observed in the children with diabetes alone (1.6 +- 0.3 mg/mmol; follow-up 2.4 +- 0.5 mg/mmol; p = 0.02). CONCLUSIONS: As urinary albumin excretion is continuously associated with the risk of kidney disease,it is possible to speculate that CD or its management confers a degree of renoprotection. Larger studies are required to test this hypothesis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33518167	All Things Gluten: A Review. Gluten is a common dietary component with a complex protein structure. It forms incomplete products of digestion,which have the potential to mount an immune response in genetically predisposed individuals,resulting in celiac disease. It also has been linked with nonceliac gluten sensitivity and irritable bowel syndrome due to wheat allergy. A gluten-free diet is an effective treatment of these conditions; however,it can lead to micronutrient and mineral deficiencies and a macronutrient imbalance with higher sugar and lipid intake. Recent popularity has led to greater availability,but increasing cost,of commercially available gluten-free products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29216605	Gluten peptides drive healthy and celiac monocytes toward an M2-like polarization. Celiac disease (CD) is an immune-mediated enteropathy triggered by ingested gluten in genetically susceptible individuals and sustained by both adaptive and innate immune responses. Recent studies in murine macrophages demonstrated that the activation of arginase (ARG) metabolic pathway by gluten peptides contributes to the modulation of intestinal permeability in vitro. Here we characterize the effects of gluten on arginine metabolism and cell polarization in human monocytes from both healthy and CD subjects; both a simplified enzymatic digestion of gliadin and a physiological digestion of whole wheat have been tested. Results indicate that gluten digests induce the onset of an M2-like phenotype in activated macrophages; more precisely,both isoforms of arginase,ARG1 and ARG2,are induced likely due to the inhibition of mTOR and the consequent induction of C/EBPbeta transcription factor. These effects are independent from the origin of gluten as well as from the digestive protocol employed; moreover,no statistical difference can be evidenced between healthy and CD patients,excluding a diverse predisposition of CD monocytes to gluten-triggered polarization with respect to healthy immune cells. Overall,the present findings sustain a role for arginase pathway in the immune response elicited by human monocytes toward ingested gluten that,hence,deserves particular attention when addressing the pathogenesis of CD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,26917496	Refractory coeliac disease a reality: views from Pakistan. Refractory coeliac disease (RCD) is described as persistence or recurrence of signs and symptoms of malabsorption with small-intestinal villous atrophy despite being on a strict gluten-free diet (GFD) for more than 12 months. RCD is a diagnosis of exclusion. There are two types of RCD,based upon the immunohistochemical features (presence of intraepithelial lymphocytes),response to treatment and prognosis. The treatment of RCD includes GFD and immunosuppressive agents. We hereby present a case of refractory celiac disease type II in a young man who later went on to develop Addisonian crisis and did not survive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35902684	Rotavirus vaccination is not associated with incident celiac disease or autoimmune thyroid disease in a national cohort of privately insured children. Rotavirus infection is a potential trigger for autoimmune diseases,and previous reports note associations between rotavirus vaccination and type 1 diabetes. In this report,we examine the association between rotavirus vaccination and autoimmune diseases associated with type 1 diabetes: celiac disease and autoimmune thyroiditis. We conducted a retrospective cohort study using de-identified claims data (Optum Clinformatics  Data Mart). Eligible infants were born between 2001 and 2018 and continuously enrolled from birth for at least 365 days (n = 2,$109.00,225). Twenty-nine percent (n = 613,295) of infants were born prior to the introduction of rotavirus vaccine in 2006; 32% (n = 684,214) were eligible for the vaccine but were not vaccinated; 9.6% (n = 202,016) received partial vaccination,and 28.9% received full vaccination (n = 609,700). There were 1379 cases of celiac disease and 1000 cases of autoimmune thyroiditis. Children who were born prior to the introduction of rotavirus vaccine in 2006 had lower risk of celiac disease compared to unvaccinated children born after 2006 (hazard ratio [HR] 0.71,95% confidence interval [CI] 0.59,0.85). However,children who were partially vaccinated (HR 0.90,95% CI 0.73,1.11) or fully vaccinated (HR 1.03,95% CI 0.88,1.21) had similar risk to eligible,unvaccinated children. Risk of autoimmune thyroiditis was similar by vaccination status. We conclude that rotavirus vaccination is not associated with increased or decreased risk for celiac disease or autoimmune thyroiditis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,22732896	Navigating the gluten-free diet in college. Factors that affect adherence to the gluten-free diet (GFD) are reported in children and adults; however,there is little data regarding young adults. The objective of the present study is to explore adherence challenges experienced by young adults in college. Responses from the online survey (N = 50),interview (N = 21),and focus group (N = 7) indicate students were motivated to adhere but experience challenges related to dining services and social situations. Dining services from 6 colleges reported a variety of accommodations for students with celiac disease,but request increased student involvement. Tools and strategies that facilitate communication between students and dining services may improve adherence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29710789	Daily Intake of Milk Powder and Risk of Celiac Disease in Early Childhood: A Nested Case-Control Study. Milk powder and gluten are common components in Swedish infants' diets. Whereas large intakes of gluten early in life increases the risk of celiac disease in genetically at-risk Swedish children,no study has yet evaluated if intake of milk powder by 2 years of age is associated with celiac disease. A 1-to-3 nested case-control study,comprised of 207 celiac disease children and 621 controls matched for sex,birth year,and HLA genotype,was performed on a birth cohort of HLA-DR3-DQ2 and/or DR4-DQ8-positive children. Subjects were screened annually for celiac disease using tissue transglutaminase autoantibodies (tTGA). Three-day food records estimated the mean intake of milk powder at ages 6 months,9 months,12 months,18 months,and 24 months. Conditional logistic regression calculated odds ratios (OR) at last intake prior to seroconversion of tTGA positivity,and for each time-point respectively and adjusted for having a first-degree relative with celiac disease and gluten intake. Intake of milk powder prior to seroconversion of tTGA positivity was not associated with celiac disease (OR = 1.00; 95% CI = 0.99,1.03; p = 0.763). In conclusion,intake of milk powder in early childhood is not associated with celiac disease in genetically susceptible children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,"31810336	""Gluten Detection Methods and Their Critical Role in Assuring Safe Diets for Celiac Patients. Celiac disease",wheat sensitivity,and allergy represent three different reactions,which may occur in genetically predisposed individuals on the ingestion of wheat and derived products with various manifestations. Improvements in the disease diagnostics and understanding of disease etiology unveiled that these disorders are widespread around the globe affecting about 7% of the population. The only known treatment so far is a life-long gluten-free diet,"which is almost impossible to follow because of the contamination of allegedly """"gluten-free"""" products. Accidental contamination of inherently gluten-free products could take place at any level from field to shelf because of the ubiquity of these proteins/grains. Gluten contamination of allegedly """"gluten-free"""" products is a constant threat to celiac patients and a major health concern. Several detection procedures have been proposed to determine the level of contamination in products for celiac patients. The present article aims to review the advantages and disadvantages of different gluten detection methods","with emphasis on the recent technology that allows identification of the immunogenic-gluten peptides without the use of antibodies. The possibility to detect gluten contamination by different approaches with similar or better detection efficiency in different raw and processed foods will guarantee the safety of the foods for celiac patients.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,27367722	Supplementation of Reduced Gluten Barley Diet with Oral Prolyl Endopeptidase Effectively Abrogates Enteropathy-Associated Changes in Gluten-Sensitive Macaques. Celiac disease (CD) is an autoimmune disorder that affects approximately three million people in the United States. Furthermore,non-celiac gluten sensitivity (NCGS) affects an estimated additional 6% of the population,e.g.,20 million in the U.S. The only effective treatment of CD and NCGS requires complete removal of gluten sources from the diet. While required adherence to a gluten-free diet (GFD) is extremely difficult to accomplish,efforts to develop additional supportive treatments are needed. To facilitate these efforts,we developed a gluten-sensitive (GS) rhesus macaque model to study the effects of novel therapies. Recently reported results from phase one of this project suggest that partial improvement-but not remission-of gluten-induced disease can be accomplished by 100-fold reduction of dietary gluten,i.e.,200 ppm-by replacement of conventional dietary sources of gluten with a mutant,reduced gluten (RG) barley (lys3a)-derived source. The main focus of this (phase two) study was to determine if the inflammatory effects of the residual gluten in lys3a mutant barley grain could be further reduced by oral supplementation with a prolylendopeptidase (PE). Results reveal that PE supplementation of RG barley diet induces more complete immunological,histopathological and clinical remission than RG barley diet alone. The combined effects of RG barley diet and PE supplementation resulted in a further decrease of inflammatory mediators IFN-gamma and TNF secretion by peripheral lymphocytes,as well as decreased plasma anti-gliadin and anti-intestinal tissue transglutaminase (TG2) antibodies,diminished active caspase production in small intestinal mucosa,and eliminated clinical diarrhea-all comparable with a gluten-free diet induced remission. In summary,the beneficial results of a combined RG barley and PE administration in GS macaques may warrant the investigation of similar synergistic approaches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33233787	The Diverse Potential of Gluten from Different Durum Wheat Varieties in Triggering Celiac Disease: A Multilevel In Vitro,Ex Vivo and In Vivo Approach. The reasons behind the increasing prevalence of celiac disease (CD) worldwide are still not fully understood. This study adopted a multilevel approach (in vitro,ex vivo,in vivo) to assess the potential of gluten from different wheat varieties in triggering CD. Peptides triggering CD were identified and quantified in mixtures generated from simulated gastrointestinal digestion of wheat varieties (n = 82). Multivariate statistics enabled the discrimination of varieties generating low impact on CD (e.g.,Saragolla) and high impact (e.g.,Cappelli). Enrolled subjects (n = 46) were: 19 healthy subjects included in the control group; 27 celiac patients enrolled for the in vivo phase. Celiacs were divided into a gluten-free diet group (CD-GFD),and a GFD with Saragolla-based pasta group (CD-Sar). The diet was followed for 3 months. Data were compared between CD-Sar and CD-GFD before and after the experimental diet,demonstrating a limited ability of Saragolla to trigger immunity,although not comparable to a GFD. Ex vivo studies showed that Saragolla and Cappelli activated immune responses,although with great variability among patients. The diverse potential of durum wheat varieties in triggering CD immune response was demonstrated. Saragolla is not indicated for celiacs,yet it has a limited potential to trigger adverse immune response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,9610465	Screening semen donors for hereditary diseases. The Fairfax cryobank experience. OBJECTIVE: To study the carrier frequency of hereditary diseases in potential semen donors with no family history of a genetic disease. STUDY DESIGN: Carrier screening was performed on potential semen donors for chromosomal abnormalities,cystic fibrosis,alpha-1-antitrypsin deficiency,hemoglobinopathies,Tay-Sachs disease,Gaucher disease,Canavan disease,and hereditary breast and ovarian cancer (the BRCA1 185delAG mutation). The screening regimen used for each donor was dictated by his ethnic background. RESULTS: Among 361 individuals screened for chromosomal abnormalities,1 carried an inversion,and 4 were possible mosaics. Fifteen of 407 potential donors carried cystic fibrosis,18 of 209 carried alpha-1-antitrypsin deficiency,and 2 of 74 carried a hemoglobinopathy. No carriers of Tay-Sachs disease (56 screened),Gaucher disease (32 screened),Canavan disease (22 screened) or the BRCA1 185delAG mutation (22 screened) were found. CONCLUSION: Screening semen donors for a number of genetic diseases that are passed silently from generation to generation is warranted since family history alone cannot identify them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,10894262	Knock-out mouse for Canavan disease: a model for gene transfer to the central nervous system. BACKGROUND: Canavan disease (CD) is an autosomal recessive leukodystrophy characterized by deficiency of aspartoacylase (ASPA) and increased levels of N-acetylaspartic acid (NAA) in brain and body fluids,severe mental retardation and early death. Gene therapy has been attempted in a number of children with CD. The lack of an animal model has been a limiting factor in developing vectors for the treatment of CD. This paper reports the successful creation of a knock-out mouse for Canavan disease that can be used for gene transfer. METHODS: Genomic library lambda knock-out shuttle (lambdaKOS) was screened and a specific pKOS/Aspa clone was isolated and used to create a plasmid with 10 base pair (bp) deletion of exon four of the murine aspa. Following linearization,the plasmid was electroporated to ES cells. Correctly targeted ES clones were identified following positive and negative selection and confirmed by Southern analysis. Chimeras were generated by injection of ES cells to blastocysts. Germ line transmission was achieved by the birth of heterozygous mice as confirmed by Southern analysis. RESULTS: Heterozygous mice born following these experiments have no overt phenotype. The homozygous mice display neurological impairment,macrocephaly,generalized white matter disease,deficient ASPA activity and high levels of NAA in urine. Magnetic resonance imaging (MRI) and spectroscopy (MRS) of the brain of the homozygous mice show white matter changes characteristic of Canavan disease and elevated NAA levels. CONCLUSION: The newly created ASPA deficient mouse establishes an important animal model of Canavan disease. This model should be useful for developing gene transfer vectors to treat Canavan disease. Vectors for the central nervous system (CNS) and modulation of NAA levels in the brain should further add to the understanding of the pathophysiology of Canavan disease. Data generated from this animal model will be useful for developing strategies for gene therapy in other neurodegenerative diseases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,27039844	rAAV Gene Therapy in a Canavan's Disease Mouse Model Reveals Immune Impairments and an Extended Pathology Beyond the Central Nervous System. Aspartoacylase (AspA) gene mutations cause the pediatric lethal neurodegenerative Canavan disease (CD). There is emerging promise of successful gene therapy for CD using recombinant adeno-associated viruses (rAAVs). Here,we report an intracerebroventricularly delivered AspA gene therapy regime using three serotypes of rAAVs at a 20-fold reduced dose than previously described in AspA(-/-) mice,a bona-fide mouse model of CD. Interestingly,central nervous system (CNS)-restricted therapy prolonged survival over systemic therapy in CD mice but failed to sustain motor functions seen in systemically treated mice. Importantly,we reveal through histological and functional examination of untreated CD mice that AspA deficiency in peripheral tissues causes morphological and functional abnormalities in this heretofore CNS-defined disorder. We demonstrate for the first time that AspA deficiency,possibly through excessive N-acetyl aspartic acid accumulation,elicits both a peripheral and CNS immune response in CD mice. Our data establish a role for peripheral tissues in CD pathology and serve to aid the development of more efficacious and sustained gene therapy for this disease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,"31620888	""Marfan syndrome in adolescence: adolescents' perspectives on (physical) functioning",disability,contextual factors and support needs. Although essential for providing optimal adolescent patient support,knowledge of the impact of Marfan syndrome in adolescence is limited. To explore adolescents' perceived impact of Marfan syndrome on (physical) functioning (activities,participation),disability (limitations,restrictions),contextual factors and support needs,we interviewed 19 adolescents with Marfan syndrome. Audio-recordings were transcribed,"coded and analysed using thematic analysis. Identified themes were """"difficulties in keeping up with peers"""" and """"being and feeling different from peers"""". Furthermore",an adolescent Marfan syndrome-specific International Classification of Functioning,Disability and Health for Children and Youth (ICF-CY) model derived from the data describing the adolescent perceived impact of Marfan syndrome on functioning,disability and its contextual factors. Adolescents perceived problems in keeping up with peers in school,sports,leisure and friendships/relationships,and they could not meet work requirements. Moreover,participants perceived to differ from peers due to their appearance and disability. Contextual factors: coping with Marfan syndrome,self-esteem/image,knowledge about Marfan syndrome,support from family/friends/teachers,ability to express needs and peer-group acceptation acted individually as barrier or facilitator for identified themes.Conclusion: Adolescents with Marfan syndrome perceived limitations and restrictions in (physical) functioning. They perceived problems in keeping up with peers and perceived to differ from peers due to their appearance and disability. This warrants awareness and tailored physical,psychosocial,educational and environmental support programmes to improve (physical) functioning and empowerment of adolescents with Marfan syndrome.What is known:  Marfan syndrome is a hereditary connective tissue disorder.  Marfan syndrome affects multiple systems.What is new:  Adolescents with Marfan syndrome perceive (1) problems in keeping up with peers in school,sports,leisure,friendships/relationships and work (2) to differ from peers due to their appearance and disability.  An adolescent Marfan syndrome-specific International Classification of Functioning,Disability and Health for Children and Youth model derived from the data describing the adolescent perceived impact of Marfan syndrome on functioning,"disability and contextual factors.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,26546710	Background differences in baseline and stimulated MMP levels influence abdominal aortic aneurysm susceptibility. OBJECTIVE: Evidence has demonstrated profound influence of genetic background on cardiovascular phenotypes. Murine models in Marfan syndrome (MFS) have shown that genetic background-related variations affect thoracic aortic aneurysm formation,rupture,and lifespan of mice. MFS mice with C57Bl/6 genetic background are less susceptible to aneurysm formation compared to the 129/SvEv genetic background. In this study,we hypothesize that susceptibility to abdominal aortic aneurysm (AAA) will be increased in 129/SvEv mice versus C57Bl/6 mice. We tested this hypothesis by assessing differences in aneurysm size,tissue properties,immune response,and MMP expression. METHODS: Mice of C57Bl/6 or 129/SvEv background underwent AAA induction by periaortic application of CaCl2. Baseline aortic diameters,tissue properties and MMP levels were measured. After aneurysm induction,diameters,MMP expression,and immune response (macrophage infiltration and bone marrow transplantation) were measured. RESULTS: Aneurysms were larger in 129/SvEv mice than C57Bl/6 mice (83.0% +- 13.6 increase compared to 57.8% +- 6.4). The aorta was stiffer in the 129/SvEv mice compared to C57Bl/6 mice (952.5 kPa +- 93.6 versus 621.4 kPa +- 84.2). Baseline MMP-2 and post-aneurysm MMP-2 and -9 levels were higher in 129/SvEv aortas compared to C57Bl/6 aortas. Elastic lamella disruption/fragmentation and macrophage infiltration were increased in 129/SvEv mice. Myelogenous cell reversal by bone marrow transplantation did not affect aneurysm size. CONCLUSIONS: These data demonstrate that 129/SvEv mice are more susceptible to AAA compared to C57Bl/6 mice. Intrinsic properties of the aorta between the two strains of mice,including baseline expression of MMP-2,influence susceptibility to AAA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28482718	Pregnancy and mesenchimal dysplasias (Marfan syndrome,Ehlers-Danlos syndrome,hereditary hemorrhagic telangiectasia). The objective of this article is to attract the attention of clinical physicians to the rare but extremely relevant clinical pathology of mesenchymal dysplasias (Marfan syndrome,Ehlers-Danlos syndrome,hereditary hemorrhagic telangiectasia) and especially specific characteristics of such diseases during pregnancy. Connective tissue pathology can cover different organs and systems,symptoms of the same disease can vary in different patients thus making diagnostics significantly difficult. Here clinical diagnostic criteria and methods of molecular diagnostics of diseases are described. The pathogenesis of mesenchymal dysplasias is not currently well understood. For the patients with mesenchymal dysplasias pregnancy is fraught with high risk of life-threatening complications. The preferred delivery method for such patients is caesarean section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30849283	Perceptions of the impact of chorea on health-related quality of life in Huntington disease (HD): A qualitative analysis of individuals across the HD spectrum,family members,and clinicians. Chorea,a hallmark symptom of Huntington's disease (HD),is characterized by jerky involuntary movements affecting the whole body that can interfere with daily functioning and impact health-related quality of life (HRQOL). To characterize chorea's impact on everyday functioning and HRQOL and identify patterns of perception and experiences of chorea among patients,caregivers,and providers. Data from focus groups of individuals with manifest HD (n = 8 early-stage HD; n = 16 late-stage HD),individuals at-risk or prodromal HD (n = 16),family HD caregivers (n = 17),and HD clinicians (n = 25). Focus group recordings were transcribed verbatim and analysed via constant comparison to identify meaningful and salient themes of living with chorea. Global themes of chorea's impact identified included: watching for chorea,experiences of stigma,and constraints on independence and relationships. Themes distinct to specific respondent groups included: Vigilance (at risk,prodromal); adaptation to chorea (early-stage); loss of autonomy and social life (late-stage); monitoring engagement (family caregivers) and safety (clinical providers). Living with chorea significantly constrains daily functioning,interactions,and HRQOL across the HD disease spectrum. Addressing these impacts via appropriate management of chorea can potentially enhance functioning,HRQOL,and overall satisfaction for persons with HD and their families.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
